"36";"36";"sites/default/files/pictures/no-img-de_90x90.gif";"Werkstatt für Gewaltfreie Aktion, Baden";"2009";"978-3-930010-10-3";"12,00";"232"
"37";"37";"sites/default/files/pictures/Trainingsbuch_Gewaltfreie_Kommunikation.jpg";"Junfermannsche Verlagsbuchhandlung";"2003";"978-3-87387-538-1";"19.50";"232"
"38";"38";;"Gandhi Informations Zentrum";"1997";"978-3-930093-10-3";"7.80";"134"
"46";"46";;"Freunde der Arche";;"0000000000";"5.00";"125"
"47";"47";;"Waldkircher Verlagsges.";"1981";"978-3-87885-053-0";"4.50";"192"
"48";"48";;"Waldkircher Verlagsges.";"1981";"978-3-87885-054-9";"4.50";"200"
"49";"49";;"Aufbau TV 8123";"2004";"978-3-7466-8123-5";"8.95";"159"
"50";"50";"sites/default/files/pictures/978-3-87348-103-0.jpg";"Hinder und Deelmann";"1979";"978-3-87348-103-9";"9.20";"114"
"51";"51";"sites/default/files/pictures/978-3-87348-088-3.jpg";"Hinder + Deelmann";"1974";"978-3-87348-088-9";"14.40";"271"
"52";"52";"sites/default/files/pictures/978-3-87348-097-2.jpg";"Hinder +Deelmann";"1976";"978-3-87348-097-1";"9.20";"174"
"53";"53";;"Herder";"1998";"978-3-451-04676-8";"9.00";"157"
"54";"54";"sites/default/files/pictures/978-3-87996-535-8.jpg";"Neue Stadt";"2001";"978-3-87996-535-8";"14.90";"173"
"55";"55";"sites/default/files/pictures/978-3-451-05427-2.jpg";"Herder";"2002";"978-3-451-05427-3";"8.90";"190"
"595";"595";"sites/default/files/pictures/";"Weber & Zucht";"2010";"978-3-388713-058-9";"16,50";"221"
"57";"57";;"agenda";"1997";"978-3-89688-004-7";"20.35";"332"
"58";"58";;"Internationaler Versöhnungsbund";"1995";"978-3-9804408-0-X";"5.00";"104"
"59";"59";;"LIT";"1995";"978-3-8258-2675-9";"19.90";"529"
"60";"60";;"Grünewald";"1994";"978-3-7867-1783-4";"24.50";"320"
